place, quantity, lat, lon
Sherwood, 1, 34.8150907, -92.2243153
Solihull, 1, 52.4130189, -1.7768935
Somerset, 8, 51.083333, -3
Southampton, 11, 50.9137978, -1.39904048346365
Southwood, 3, 50.9572479, -114.0838187
St Austell, 1, 50.338466, -4.7882104
St Helens, 1, 53.4535471, -2.7343231
Stockton, 2, 37.9577016, -121.2907796
Suffolk, 1, 52.24115585, 1.0466542299927
Surrey, 7, 51.2715316, -0.341452351129091
Sussex, 5, 50.94468065, -0.06192935288129
Swale, 2, 51.3367451, 0.801369798606056
Tamworth, 1, 52.6345819, -1.6948438
Teesside, 4, 54.5659847, -1.28468847183779
Tottenham, 1, 51.5976955, -0.0672892
Wakefield, 1, 53.6825669, -1.5000466
Warrington, 10, 53.4018582, -2.5680223597163
Warwickshire, 1, 52.333333, -1.583333
Waverley, 1, 55.9522314, -3.18867390020952
Welwyn, 6, 51.8286869, -0.2141752
Westminster, 1, 51.4973206, -0.137149
Wiltshire, 6, 51.25, -1.916667
Worcestershire, 1, 52.2109495, -2.15695551324222
Worthing, 1, 50.8116902, -0.3703948
Wrexham, 1, 53.0465068, -2.9938137
York, 7, 53.9590555, -1.0815361
Yorkshire, 5, 42.5300624, -78.4727976
